Word,Freq,Rank
plaine,2,1026
sparkes,2,1027
shooes,2,1028
Stirre,2,1029
shed,2,1030
Creature,2,1031
preferre,2,1032
swet,2,1033
Shout,2,1034
blunt,2,1035
bent,2,1036
Bondage,2,1037
Bring,2,1038
Pub,2,1039
iust,2,1040
nature,2,1041
Error,2,1042
Horse,2,1043
Window,2,1044
fresh,2,1045
Knocke,2,1046
bleed,2,1047
Seeing,2,1048
Steele,2,1049
Popil,2,1050
slay,2,1051
Murellus,2,1052
spot,2,1053
Mistrust,2,1054
fauour,2,1055
die,2,1056
Dost,2,1057
Awake,2,1058
Hill,2,1059
prythee,2,1060
Obiects,2,1061
marching,2,1062
Answer,2,1063
knew,2,1064
Mantle,2,1065
issue,2,1066
tremble,2,1067
morning,2,1068
ours,2,1069
kneele,2,1070
tweene,2,1071
Mess,2,1072
beholding,2,1073
Octauio,2,1074
thanke,2,1075
yoake,2,1076
Opinion,2,1077
beware,2,1078
shewes,2,1079
bones,2,1080
Brow,2,1081
Beasts,2,1082
seuenty,2,1083
choose,2,1084
dyest,2,1085
asleepe,2,1086
Slaues,2,1087
willing,2,1088
wrongs,2,1089
chance,2,1090
demand,2,1091
deliuer,2,1092
comming,2,1093
proclaime,2,1094
ayme,2,1095
makes,2,1096
loued,2,1097
spurne,2,1098
Commoners,2,1099
betimes,2,1100
humour,2,1101
Tyranny,2,1102
dost,2,1103
Humour,2,1104
reades,2,1105
offered,2,1106
Faith,2,1107
lusty,2,1108
Mirth,2,1109
bids,2,1110
Honorable,2,1111
Sutors,2,1112
Braue,2,1113
Loe,2,1114
Soldiers,2,1115
raise,2,1116
Foolerie,2,1117
Body,2,1118
vnknowne,2,1119
Dreames,2,1120
pay,2,1121
alas,2,1122
Louers,2,1123
ended,2,1124
knockes,2,1125
proceeded,2,1126
Prodigies,2,1127
partly,2,1128
Hilts,2,1129
sucke,2,1130
Lyons,2,1131
Two,2,1132
thicke,2,1133
Prisoner,2,1134
intreat,2,1135
quality,2,1136
Day,2,1137
droppes,2,1138
Generall,2,1139
abide,2,1140
Holyday,2,1141
dangers,2,1142
spurres,2,1143
Arme,2,1144
wine,2,1145
Comes,2,1146
armes,2,1147
bury,2,1148
driue,2,1149
women,2,1150
immortall,2,1151
vttermost,2,1152
agen,2,1153
peece,2,1154
condition,2,1155
towards,2,1156
Ensigne,2,1157
Creatures,2,1158
Paper,2,1159
worst,2,1160
faire,2,1161
drawes,2,1162
booke,2,1163
often,2,1164
iealous,2,1165
Wherein,2,1166
Cobler,2,1167
bosome,2,1168
moue,2,1169
ease,2,1170
Drachmaes,2,1171
rendred,2,1172
affayres,2,1173
Ouer,2,1174
secret,2,1175
houses,2,1176
whisper,2,1177
sufferance,2,1178
bathe,2,1179
try,2,1180
Ages,2,1181
knee,2,1182
Take,2,1183
Fathers,2,1184
compell,2,1185
Armes,2,1186
Because,2,1187
deede,2,1188
Ghosts,2,1189
prepare,2,1190
grone,2,1191
bound,2,1192
bankes,2,1193
Conditions,2,1194
reueng,2,1195
care,2,1196
softly,2,1197
She,2,1198
itching,2,1199
peeces,2,1200
stones,2,1201
Clau,2,1202
Before,2,1203
forget,2,1204
past,2,1205
Life,2,1206
Lupercall,2,1207
successe,2,1208
bold,2,1209
bestow,2,1210
Princes,2,1211
throng,2,1212
soules,2,1213
streame,2,1214
ouercame,2,1215
Falling,2,1216
rash,2,1217
Augurers,2,1218
attaine,2,1219
growing,2,1220
cryed,2,1221
prickt,2,1222
According,2,1223
silence,2,1224
vrge,2,1225
Porch,2,1226
Ladder,2,1227
confesse,2,1228
Tide,2,1229
Rites,2,1230
Liue,2,1231
liu,2,1232
watch,2,1233
banish,2,1234
vnfold,2,1235
heereafter,2,1236
calles,2,1237
Iustice,2,1238
Souldiers,2,1239
Ordinance,2,1240
start,2,1241
Audience,2,1242
Glories,2,1243
whose,2,1244
slew,2,1245
fawne,2,1246
Diuell,2,1247
wel,2,1248
bow,2,1249
rich,2,1250
reuerence,2,1251
dispos,2,1252
drinke,2,1253
Priests,2,1254
Crown,2,1255
smiling,2,1256
sights,2,1257
neyther,2,1258
assure,2,1259
sometime,2,1260
Yours,2,1261
sell,2,1262
sinke,2,1263
hung,2,1264
sweare,2,1265
intended,2,1266
narrow,2,1267
Ceremony,2,1268
Cly,2,1269
merry,2,1270
danger,2,1271
Onely,2,1272
More,2,1273
Italy,2,1274
mightie,2,1275
mooue,2,1276
Tyrants,2,1277
None,2,1278
abroad,2,1279
Name,2,1280
cast,2,1281
wildenesse,2,1282
condemn,2,1283
bleeding,2,1284
vrg,2,1285
Offence,2,1286
preuention,2,1287
sees,2,1288
Dec,2,1289
duty,2,1290
speed,2,1291
Wilt,2,1292
names,2,1293
break,2,1294
thrusting,2,1295
Lookes,2,1296
colour,2,1297
twas,2,1298
slept,2,1299
East,2,1300
vnbraced,2,1301
indure,2,1302
hauing,2,1303
Ride,2,1304
Pin,2,1305
impatience,2,1306
fled,2,1307
Fantasie,2,1308
speaking,2,1309
obserue,2,1310
Schoole,2,1311
indeede,2,1312
com,2,1313
Speech,2,1314
personall,2,1315
Flint,2,1316
push,2,1317
pale,2,1318
Royall,2,1319
store,2,1320
thriue,2,1321
ayre,2,1322
slight,2,1323
touches,2,1324
perhaps,2,1325
contented,2,1326
Either,2,1327
deseru,2,1328
Face,2,1329
Lena,2,1330
effect,2,1331
Infants,2,1332
lost,2,1333
Starres,2,1334
Louer,2,1335
Butchers,2,1336
crown,2,1337
